


group_span_2(m), Y
0.000177416, 0.00412368
0.00017764, 0.00602079
0.000177865, 0.00253159
0.00017809, -0.00829703
0.000178315, -0.00522433
0.000178539, 0.00594736
0.000178764, 0.00220735
0.000178989, -0.00358472
0.000179213, -0.0046969
0.000179438, 0.0009598
0.000179663, 0.00568004
0.000179888, 0.000338956
0.000180112, -0.000351717
0.000180337, -0.00328389
0.000180562, 9.25136e-05
0.000180787, 0.00780768
0.000181011, 0.00426294
0.000181236, -0.00253732
0.000181461, -0.0082347
0.000181685, -0.0121854
0.00018191, 0.0031114
0.000182135, 0.0247652
0.00018236, -0.0136458
0.000182584, -0.0088167
0.000182809, -0.0226919
0.000183034, 0.0134845
0.000183258, 0.0208629
0.000183483, -0.00990434
0.000183708, -0.0140661
0.000183933, -0.0103964
0.000184157, 0.000614463
0.000184382, 0.0211351
0.000184607, 0.0161598
0.000184831, -0.0198947
0.000185056, -0.0327569
0.000185281, -0.00684038
0.000185506, 0.0356707
0.00018573, 0.0189444
0.000185955, -0.00326095
0.00018618, -0.0454043
0.000186404, 0.00948857
0.000186629, 0.013893
0.000186854, 0.0417271
0.000187079, -0.0115767
0.000187303, -0.0265184
0.000187528, -0.0240283
0.000187753, 0.0140652
0.000187978, 0.0319227
0.000188202, 0.0113609
0.000188427, -0.0170268
0.000188652, -0.0388684
0.000188876, 0.0118641
0.000189101, 0.0216052
0.000189326, 0.0292341
0.000189551, -0.0148783
0.000189775, -0.0343722
0.00019, -0.0236113



group_span_2(m), Y
0.00017, 0.0099053
0.000170225, 0.0487479
0.000170449, 0.0712464
0.000170674, -0.0392795
0.000170899, -0.0423209
0.000171124, -0.0279158
0.000171348, 0.0464232
0.000171573, 0.0605948
0.000171798, 0.0176488
0.000172022, -0.0763693
0.000172247, -0.0257503
0.000172472, 0.011319
0.000172697, 0.0668304
0.000172921, 0.00512997
0.000173146, -0.0363417
0.000173371, -0.0574406
0.000173596, 0.0341649
0.00017382, 0.0438359
0.000174045, 0.0146485
0.00017427, -0.023346
0.000174494, -0.0399774
0.000174719, 0.0213319
0.000174944, 0.0222989
0.000175169, 0.0197953
0.000175393, -0.0170002
0.000175618, -0.0285786
0.000175843, 0.00802497
0.000176067, 0.0113229
0.000176292, 0.0102686
0.000176517, -0.00787743
0.000176742, -0.0062071
0.000176966, 0.000126955
0.000177191, 0.00351743
0.000177416, 0.00203035
0.00017764, -7.96901e-05
0.000177865, -0.00144068
0.00017809, 0.00174515
0.000178315, -0.00106925
0.000178539, -0.00504664
0.000178764, 0.00322581
0.000178989, 0.00328907
0.000179213, 0.00163689
0.000179438, -0.00235443
0.000179663, -0.00119211
0.000179888, 0.00020671
0.000180112, 0.00204437
0.000180337, 0.000862233
