["port 3","RIGHT"]
["port 5","RIGHT"]
["port 1","LEFT"]
["port 4","RIGHT"]
["port 2","LEFT"]
["port 6","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(1000, 3)
1.8778146939745438e+14 9.7904195906915232e-09 -2.7672028190285247e-01
1.8779324400677203e+14 8.5551173878820263e-09 -1.6813855138432030e-01
1.8780502009280744e+14 7.0896803783929025e-09 -9.4736345360076579e-02
1.8781679765583847e+14 5.5298478322977766e-09 -9.1545897531989467e-02
1.8782857669614300e+14 4.1380844280271183e-09 -2.3320202561622005e-01
1.8784035721399900e+14 3.4505384651024555e-09 -5.9922992040826384e-01
1.8785213920968450e+14 3.9563879725067850e-09 -9.9285690615590227e-01
1.8786392268347762e+14 5.2632975099814547e-09 -1.1666743762931044e+00
1.8787570763565650e+14 6.7906945052560665e-09 -1.1798934161661820e+00
1.8788749406649938e+14 8.2446241711312971e-09 -1.1145598624258308e+00
1.8789928197628459e+14 9.4790953055308445e-09 -1.0102844816840819e+00
1.8791107136529050e+14 1.0408542691512117e-08 -8.8562628636285035e-01
1.8792286223379559e+14 1.0979854625073209e-08 -7.5034884460627504e-01
1.8793465458207831e+14 1.1163628731217506e-08 -6.1049666984990603e-01
1.8794644841041734e+14 1.0951388462070394e-08 -4.7071441816945214e-01
1.8795824371909125e+14 1.0354878192439518e-08 -3.3565754797098069e-01
1.8797004050837884e+14 9.4065733971712731e-09 -2.1140572397696211e-01
1.8798183877855891e+14 8.1622665942679125e-09 -1.0778905759048897e-01
1.8799363852991025e+14 6.7095700246264403e-09 -4.3460420157824947e-02
1.8800543976271188e+14 5.1953133382812067e-09 -5.8007233823977801e-02
1.8801724247724278e+14 3.9102091137793339e-09 -2.3226026790327461e-01
1.8802904667378203e+14 3.4155815976021101e-09 -6.2124282913981133e-01
1.8804085235260878e+14 4.0755628415216320e-09 -9.8154422725924850e-01
1.8805265951400225e+14 5.4109556230532064e-09 -1.1219679971826289e+00
1.8806446815824178e+14 6.9015959276805923e-09 -1.1191937545589519e+00
1.8807627828560666e+14 8.2921089727459149e-09 -1.0464976933770904e+00
1.8808808989637631e+14 9.4515272977285264e-09 -9.3866483506925047e-01
1.8809990299083031e+14 1.0301644014219136e-08 -8.1232554033626081e-01
1.8811171756924816e+14 1.0794252067991184e-08 -6.7647152042754599e-01
1.8812353363190956e+14 1.0903948252970226e-08 -5.3686731368759866e-01
1.8813535117909419e+14 1.0625856660899385e-08 -3.9814862109966798e-01
1.8814717021108181e+14 9.9751595906424014e-09 -2.6520284497056740e-01
1.8815899072815231e+14 8.9878992761853595e-09 -1.4470053813932798e-01
1.8817081273058556e+14 7.7242964234920853e-09 -4.7793062547006507e-02
1.8818263621866166e+14 6.2794581255671940e-09 3.8427443155815556e-03
1.8819446119266056e+14 4.8177105149123592e-09 -3.6114593828516402e-02
