["port 1","LEFT"]
["port 2","RIGHT"]
["port 3","LEFT"]
["port 4","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(8, 3)
1.8737028625000000e+14 9.0826151714880388e-01 2.7667362899119037e+00
1.8915476516666666e+14 9.1643852655129121e-01 5.1111049350796387e+00
1.9093924408333334e+14 9.2393791862983898e-01 7.4530276553425256e+00
1.9272372300000000e+14 9.3088356996500377e-01 9.7923024670922985e+00
1.9450820191666666e+14 9.3736664656811186e-01 1.2128763032524503e+01
1.9629268083333331e+14 9.4345285172989746e-01 1.4462208160701319e+01
1.9807715975000000e+14 9.4909069440477944e-01 1.6792467974331750e+01
1.9986163866666666e+14 9.5418707874295361e-01 1.9119501673504832e+01
("port 4","mode 1",1,"port 1",1,"transmission")
(8, 3)
1.8737028625000000e+14 3.8102681563207097e-01 -3.0488662620597182e+00
1.8915476516666666e+14 3.6064520707426162e-01 -1.0851724204456330e+00
1.9093924408333334e+14 3.4142794285173395e-01 8.7651973942567007e-01
1.9272372300000000e+14 3.2330696279289184e-01 2.8361404233415071e+00
1.9450820191666666e+14 3.0622639993129291e-01 4.7936524028358711e+00
1.9629268083333331e+14 2.9013069087623478e-01 6.7490241233993116e+00
1.9807715975000000e+14 2.7497125330079830e-01 8.7021638725077111e+00
1.9986163866666666e+14 2.6068589556183203e-01 1.0652951840868917e+01
("port 4","mode 1",1,"port 2",1,"transmission")
(8, 3)
1.8737028625000000e+14 5.1899019349483429e-04 -4.1499593984528460e-01
1.8915476516666666e+14 4.8647205448694404e-04 8.8494687370917779e-01
1.9093924408333334e+14 5.0520430818638915e-04 2.1646750262602770e+00
1.9272372300000000e+14 5.1686957080020516e-04 3.3591670714685433e+00
1.9450820191666666e+14 4.9176630674615954e-04 4.4919893787273795e+00
1.9629268083333331e+14 4.4943185745506759e-04 5.6152471039971577e+00
1.9807715975000000e+14 4.2538224704764604e-04 6.7809137900819678e+00
1.9986163866666666e+14 4.3277143213839395e-04 7.9780385656076644e+00
("port 4","mode 1",1,"port 3",1,"transmission")
(8, 3)
1.8737028625000000e+14 9.0826118840269798e-01 2.7667366324409062e+00
1.8915476516666666e+14 9.1643867194350470e-01 5.1111047907926332e+00
1.9093924408333334e+14 9.2393814971765920e-01 7.4530280316770217e+00
1.9272372300000000e+14 9.3088378602878652e-01 9.7923025076486105e+00
1.9450820191666666e+14 9.3736690234601450e-01 1.2128763240427936e+01
1.9629268083333331e+14 9.4345293425843813e-01 1.4462208492149159e+01
1.9807715975000000e+14 9.4909044046299074e-01 1.6792467898522496e+01
1.9986163866666666e+14 9.5418733875290773e-01 1.9119501088674621e+01
("port 4","mode 1",1,"port 4",1,"transmission")
(8, 3)
1.8737028625000000e+14 4.6569363311175496e-03 1.3694190321755941e+00
1.8915476516666666e+14 1.1420314813263542e-03 4.0825157726208179e+00
1.9093924408333334e+14 3.7530225071493173e-03 3.1980425079042729e+00
1.9272372300000000e+14 1.2615157769197082e-03 2.5100730112643044e+00
1.9450820191666666e+14 7.3132482989454800e-03 4.5791929402443659e+00
1.9629268083333331e+14 2.3391287438928828e-03 4.4767720874628889e+00
1.9807715975000000e+14 1.4926427340242444e-02 5.9136881721704881e+00
1.9986163866666666e+14 6.5609902030154188e-03 7.6200334187274876e+00
