["port 1","LEFT"]
["port 2","LEFT"]
["port 3","RIGHT"]
["port 4","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(1500, 3)
1.8804526926917944e+14 3.7299855607041106e-03 -9.1369852232466919e-01
1.8805360239287303e+14 3.7221122714451733e-03 -8.8193693333571910e-01
1.8806193551656659e+14 3.7153698574933498e-03 -8.4999751770840037e-01
1.8807026864026019e+14 3.7097850624730816e-03 -8.1789222457502486e-01
1.8807860176395375e+14 3.7053832572581519e-03 -7.8563364309007688e-01
1.8808693488764731e+14 3.7021883330020790e-03 -7.5323496314922456e-01
1.8809526801134091e+14 3.7002225989276353e-03 -7.2070992996016714e-01
1.8810360113503447e+14 3.6995066859582750e-03 -6.8807279275813460e-01
1.8811193425872803e+14 3.7000594572653778e-03 -6.5533824804095597e-01
1.8812026738242162e+14 3.7018979267203398e-03 -6.2252137783488459e-01
1.8812860050611519e+14 3.7050371861902251e-03 -5.8963758357923557e-01
1.8813693362980875e+14 3.7094903424938976e-03 -5.5670251632223000e-01
1.8814526675350234e+14 3.7152684647389299e-03 -5.2373200399744768e-01
1.8815359987719591e+14 3.7223805426315339e-03 -4.9074197660851643e-01
1.8816193300088947e+14 3.7308334562006912e-03 -4.5774839020033098e-01
1.8817026612458306e+14 3.7406319572164553e-03 -4.2476715052178421e-01
1.8817859924827662e+14 3.7517786624495834e-03 -3.9181403728502789e-01
1.8818693237197019e+14 3.7642740587294720e-03 -3.5890462992789440e-01
1.8819526549566378e+14 3.7781165196172722e-03 -3.2605423573365361e-01
1.8820359861935734e+14 3.7933023333591113e-03 -2.9327782112755046e-01
1.8821193174305094e+14 3.8098257416086614e-03 -2.6058994688910270e-01
1.8822026486674450e+14 3.8276789883432481e-03 -2.2800470794841021e-01
1.8822859799043806e+14 3.8468523781903909e-03 -1.9553567832314686e-01
1.8823693111413166e+14 3.8673343433796607e-03 -1.6319586166945932e-01
1.8824526423782522e+14 3.8891115183771717e-03 -1.3099764779603068e-01
1.8825359736151878e+14 3.9121688212471672e-03 -9.8952775386669134e-02
1.8826193048521238e+14 3.9364895407365081e-03 -6.7072301067430923e-02
1.8827026360890594e+14 3.9620554280410045e-03 -3.5366574848101698e-02
1.8827859673259950e+14 3.9888467922478670e-03 -3.8452218618630790e-03
1.8828692985629309e+14 4.0168425984228196e-03 2.7482869751040594e-02
1.8829526297998666e+14 4.0460205673881356e-03 5.8609555068371282e-02
1.8830359610368022e+14 4.0763572762538254e-03 8.9527433018900399e-02
1.8831192922737381e+14 4.1078282588392486e-03 1.2022984181056720e-01
1.8832026235106738e+14 4.1404081051815110e-03 1.5071084955434025e-01
1.8832859547476094e+14 4.1740705594116240e-03 1.8096524054446728e-01
1.8833692859845453e+14 4.2087886153562648e-03 2.1098849766160363e-01
1.8834526172214809e+14 4.2445346092886572e-03 2.4077678137896794e-01
1.8835359484584166e+14 4.2812803093792810e-03 2.7032690586140545e-01
1.8836192796953525e+14 4.3189970014080783e-03 2.9963631262524404e-01
1.8837026109322881e+14 4.3576555704565737e-03 3.2870304222514968e-01
1.8837859421692241e+14 4.3972265783119285e-03 3.5752570440330766e-01
1.8838692734061597e+14 4.4376803364204994e-03 3.8610344711444450e-01
1.8839526046430953e+14 4.4789869742779074e-03 4.1443592481063690e-01
1.8840359358800312e+14 4.5211165031956522e-03 4.4252326633244138e-01
1.8841192671169669e+14 4.5640388754653932e-03 4.7036604272553711e-01
1.8842025983539025e+14 4.6077240389397747e-03 4.9796523525807562e-01
1.8842859295908384e+14 4.6521419871514572e-03 5.2532220389354078e-01
1.8843692608277741e+14 4.6972628050435620e-03 5.5243865642089218e-01
1.8844525920647097e+14 4.7430567105120284e-03 5.7931661842963877e-01
1.8845359233016456e+14 4.7894940918747873e-03 6.0595840427308911e-01
1.8846192545385812e+14 4.8365455415036503e-03 6.3236658914371124e-01
1.8847025857755169e+14 4.8841818857818216e-03 6.5854398235125200e-01
1.8847859170124528e+14 4.9323742116094953e-03 6.8449360187502084e-01
1.8848692482493884e+14 4.9810938896750643e-03 7.1021865023535180e-01
1.8849525794863241e+14 5.0303125946923252e-03 7.3572249171734194e-01
1.8850359107232600e+14 5.0800023228258148e-03 7.6100863095291538e-01
1.8851192419601956e+14 5.1301354065234070e-03 7.8608069286455917e-01
1.8852025731971316e+14 5.1806845269365505e-03 8.1094240394871231e-01
1.8852859044340672e+14 5.2316227241607565e-03 8.3559757487936492e-01
1.8853692356710028e+14 5.2829234054494892e-03 8.6005008439310826e-01
1.8854525669079388e+14 5.3345603516252805e-03 8.8430386441620756e-01
1.8855358981448744e+14 5.3865077218285245e-03 9.0836288638715446e-01
1.8856192293818100e+14 5.4387400567843212e-03 9.3223114872215296e-01
1.8857025606187459e+14 5.4912322807399031e-03 9.5591266537193487e-01
1.8857858918556816e+14 5.5439597022138758e-03 9.7941145541191366e-01
1.8858692230926172e+14 5.5968980136876876e-03 1.0027315336112246e+00
1.8859525543295531e+14 5.6500232903899730e-03 1.0258769019214287e+00
1.8860358855664888e+14 5.7033119882344109e-03 1.0488515418288971e+00
1.8861192168034244e+14 5.7567409410827809e-03 1.0716594075149615e+00
1.8862025480403603e+14 5.8102873573828047e-03 1.0943044197721032e+00
1.8862858792772959e+14 5.8639288162934001e-03 1.1167904606153005e+00
1.8863692105142316e+14 5.9176432633600822e-03 1.1391213685474713e+00
1.8864525417511675e+14 5.9714090058420946e-03 1.1613009344231313e+00
1.8865358729881031e+14 6.0252047077205325e-03 1.1833328978649620e+00
1.8866192042250388e+14 6.0790093844823173e-03 1.2052209441917554e+00
1.8867025354619747e+14 6.1328023977216557e-03 1.2269687018110143e+00
1.8867858666989103e+14 6.1865634495831797e-03 1.2485797400402094e+00
1.8868691979358462e+14 6.2402725771406303e-03 1.2700575673190948e+00
1.8869525291727819e+14 6.2939101466949260e-03 1.2914056297746792e+00
1.8870358604097175e+14 6.3474568480656329e-03 1.3126273101117238e+00
1.8871191916466534e+14 6.4008936888858108e-03 1.3337259267942574e+00
1.8872025228835891e+14 6.4542019889264881e-03 1.3547047334892859e+00
1.8872858541205247e+14 6.5073633744883209e-03 1.3755669187523454e+00
1.8873691853574606e+14 6.5603597728551791e-03 1.3963156059223130e+00
1.8874525165943962e+14 6.6131734068551121e-03 1.4169538532094006e+00
1.8875358478313319e+14 6.6657867895184341e-03 1.4374846539541759e+00
1.8876191790682678e+14 6.7181827188560628e-03 1.4579109370362953e+00
1.8877025103052034e+14 6.7703442727768222e-03 1.4782355674181611e+00
1.8877858415421391e+14 6.8222548041304756e-03 1.4984613468079828e+00
1.8878691727790750e+14 6.8738979358927066e-03 1.5185910144226180e+00
1.8879525040160106e+14 6.9252575565170744e-03 1.5386272478455818e+00
1.8880358352529462e+14 6.9763178154251086e-03 1.5585726639588038e+00
1.8881191664898822e+14 7.0270631186503266e-03 1.5784298199441305e+00
1.8882024977268178e+14 7.0774781246481198e-03 1.5982012143404214e+00
1.8882858289637538e+14 7.1275477402628499e-03 1.6178892881494236e+00
1.8883691602006894e+14 7.1772571168464191e-03 1.6374964259806002e+00
1.8884524914376250e+14 7.2265916465382614e-03 1.6570249572294289e+00
1.8885358226745609e+14 7.2755369587054232e-03 1.6764771572806891e+00
1.8886191539114966e+14 7.3240789165236256e-03 1.6958552487309595e+00
1.8887024851484322e+14 7.3722036137307979e-03 1.7151614026274526e+00
1.8887858163853681e+14 7.4198973715110129e-03 1.7343977397142762e+00
1.8888691476223038e+14 7.4671467355362474e-03 1.7535663316855130e+00
1.8889524788592394e+14 7.5139384731457964e-03 1.7726692024395110e+00
1.8890358100961753e+14 7.5602595706711819e-03 1.7917083293316605e+00
1.8891191413331109e+14 7.6060972308935682e-03 1.8106856444216906e+00
1.8892024725700466e+14 7.6514388706357102e-03 1.8296030357149666e+00
1.8892858038069825e+14 7.6962721184824032e-03 1.8484623483941742e+00
1.8893691350439181e+14 7.7405848126268807e-03 1.8672653860376338e+00
1.8894524662808538e+14 7.7843649988403388e-03 1.8860139118282608e+00
1.8895357975177897e+14 7.8276009285530874e-03 1.9047096497438636e+00
1.8896191287547253e+14 7.8702810570597838e-03 1.9233542857348231e+00
1.8897024599916612e+14 7.9123940418261672e-03 1.9419494688841146e+00
1.8897857912285969e+14 7.9539287409059814e-03 1.9604968125485049e+00
1.8898691224655325e+14 7.9948742114529341e-03 1.9789978954843108e+00
