.HEADER
..NAMES
wavelength,transmission,transmission,angle,group delay,group velocity,dispersion,loss,gain
..UNITS
m,TE transmission,TE transmission,TE angle (rad),TE group delay (s),TE group velocity (m/s),TE dispersion (s/m),TE loss (dB),TE gain (dB)
..DATATYPES
double,complex,complex,double,double,double,double,double,double
..WAVEFORM_TYPES
,analog,analog,analog,analog,analog,analog,analog,analog
..AXIS_SPACING
linear
..FOLDER_NAME
input_1_mode_1
.DATA
1.500046876462389e-06,-0.01766843130942379,-0.06475896508635952,337.4548591083914,4.26232890498116e-12,234613522863.37,-5.664160094619183e-05,23.46218737694966,-23.46218737694966
1.500093755857242e-06,-0.02833629470008484,-0.06119239341659748,337.2875415364496,4.26232890498116e-12,234613522863.37,-5.664160094619183e-05,23.42231627172328,-23.42231627172328
1.500140638182331e-06,-0.03830314694684132,-0.05588171674354316,337.1203281699553,4.26002450314141e-12,234740433831.4449,-4.166465012959283e-05,23.38197028741966,-23.38197028741966
1.500187523437933e-06,-0.04728896200219757,-0.04896190923061448,336.9531914601025,4.258519571001102e-12,234823389520.0623,-2.25323404932901e-05,23.3408947518748,-23.3408947518748
1.500234411624321e-06,-0.05503890253420051,-0.04061067713076116,336.7860962089325,4.257960749350203e-12,234854208121.2486,-1.304674663248724e-06,23.29892633852454,-23.29892633852454
1.500281302741769e-06,-0.06132885009291839,-0.03104421137163887,336.6190033584663,4.258393858771294e-12,234830321751.5294,1.977699930798896e-05,23.2560086063321,-23.2560086063321
1.500328196790554e-06,-0.0659705157544879,-0.02051266615555893,336.4518741144947,4.259760713332195e-12,234754970360.2367,3.851785306954886e-05,23.2121962816204,-23.2121962816204
1.50037509377095e-06,-0.06881633464262141,-0.009295202915136039,336.2846739857895,4.261906435309495e-12,234636779380.0197,5.298958946777593e-05,23.16764804267407,-23.16764804267407
1.500421993683232e-06,-0.06976418275176265,0.002305680117241239,336.1173763337944,4.264596468430514e-12,234488774589.2701,6.172391793606695e-05,23.1226086652233,-23.1226086652233
1.500468896527675e-06,-0.06876174631530914,0.01397083144644177,335.9499650765432,4.267541635792602e-12,234326946364.8178,6.386188942181488e-05,23.07738240597955,-23.07738240597955
1.500515802304553e-06,-0.06581017399733928,0.02537234973694189,335.7824362716681,4.270428810138409e-12,234168521349.871,5.924353265846165e-05,23.0323003722064,-23.0323003722064
1.500562711014143e-06,-0.06096650301669834,0.03618272430022784,335.6147984131468,4.272954121296246e-12,234030128012.8511,4.842598587102508e-05,22.98768526833184,-22.98768526833184
1.500609622656718e-06,-0.05434431483911918,0.04608497969413461,335.4470714080084,4.274855219299786e-12,233926050988.8797,3.262466531309976e-05,22.94381724141574,-22.94381724141574
1.500656537232554e-06,-0.0461121662808192,0.05478333642052306,335.279284340894,4.275939056881123e-12,233866756915.2404,1.358065690957063e-05,22.900904493478,-22.900904493478
1.500703454741926e-06,-0.03648955029643178,0.06201370230103253,335.1114722702406,4.276102036248789e-12,233857843316.8658,-6.632539053475447e-06,22.85906185437894,-22.85906185437894
1.500750375185109e-06,-0.02574042862536093,0.06755322291005922,334.943672411612,4.275340193245967e-12,233899515547.2692,-2.584067994596391e-05,22.81829963747515,-22.81829963747515
1.50079729856238e-06,-0.01416468333203862,0.07122817285278819,334.7759201345739,4.273748282261448e-12,233986639819.3325,-4.201032375509572e-05,22.77852392468755,-22.77852392468755
