["port 2","RIGHT"]
["port 1","LEFT"]
["port 3","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission")
(25, 3)
1.9986163866666666e+14 6.7524163751948796e-01 1.2896899050843999e+01
("port 1","mode 1",1,"port 3",1,"transmission")
(25, 3)
1.8737028625000000e+14 6.8244595132445429e-01 -2.5141662846451096e+00
1.8785950370757181e+14 6.8354298231031452e-01 -1.9070580378040261e+00
1.8835128251308903e+14 6.8443753750098424e-01 -1.2960662102540212e+00
1.8884564283464566e+14 6.8468828587883168e-01 -6.8187240590636133e-01
1.8934260505263156e+14 6.8459945236343867e-01 -6.5494585891303830e-02
1.8984218976253297e+14 6.8472928588387150e-01 5.5416972979724910e-01
1.9034441777777778e+14 6.8491601683410563e-01 1.1774008721242215e+00
1.9084931013262600e+14 6.8488183659795732e-01 1.8041954523730079e+00
1.9135688808510641e+14 6.8452297098307258e-01 2.4341095515644686e+00
1.9186717312000003e+14 6.8463128136874118e-01 3.0663176140421791e+00
1.9238018695187166e+14 6.8464710094723635e-01 3.7030808912454947e+00
1.9289595152815012e+14 6.8487292993142668e-01 4.3435754568357616e+00
1.9341448903225806e+14 6.8726756746758277e-01 4.9908264523907473e+00
1.9393582188679247e+14 6.8631583865982548e-01 5.6392430513897054e+00
1.9445997275675678e+14 6.8495788335033947e-01 6.2904993617289451e+00
1.9498696455284550e+14 6.8409282173100372e-01 6.9442426492375295e+00
1.9551682043478259e+14 6.8396651675162368e-01 7.6020422438894641e+00
1.9604956381471391e+14 6.8213679196401866e-01 8.2567584006766772e+00
1.9658521836065575e+14 6.8202611925959067e-01 8.9088868916405524e+00
1.9712380800000000e+14 6.8149238275019297e-01 9.5650697107845186e+00
1.9766535692307694e+14 6.8048912337373324e-01 1.0224722627834952e+01
1.9820988958677688e+14 6.7928531194259378e-01 1.0887624164878327e+01
1.9875743071823203e+14 6.7799577273894673e-01 1.1553930951327807e+01
1.9930800531855956e+14 6.7661744217741582e-01 1.2223713478912066e+01
1.9986163866666666e+14 6.7524163751874700e-01 1.2896899050825667e+01
("port 2","mode 1",1,"port 1",1,"transmission")
(25, 3)
1.8737028625000000e+14 6.7610031361432033e-01 -2.5137364317334105e+00
1.8785950370757181e+14 6.7680512885880750e-01 -1.9061077948861358e+00
1.8835128251308903e+14 6.7752784447627901e-01 -1.2954074050568565e+00
1.8884564283464566e+14 6.7796309364082974e-01 -6.8202421589729356e-01
1.8934260505263156e+14 6.7752645219725138e-01 -6.5941388081186977e-02
1.8984218976253297e+14 6.7753430678846793e-01 5.5365532134025652e-01
1.9034441777777778e+14 6.7758496919716893e-01 1.1770265347313873e+00
1.9084931013262600e+14 6.7727436025269305e-01 1.8040628987719676e+00
1.9135688808510641e+14 6.7637359463836566e-01 2.4343281618768375e+00
1.9186717312000003e+14 6.7624485447178384e-01 3.0680127226250420e+00
1.9238018695187166e+14 6.7507950797298477e-01 3.7035253789348936e+00
1.9289595152815012e+14 6.7433891798315593e-01 4.3423765896024467e+00
1.9341448903225806e+14 6.8423033649935383e-01 4.9903657813571325e+00
1.9393582188679247e+14 6.8386840006225524e-01 5.6371629414652729e+00
1.9445997275675678e+14 6.8389720786350561e-01 6.2878109151037433e+00
1.9498696455284550e+14 6.8439920936507204e-01 6.9432336044775598e+00
1.9551682043478259e+14 6.8430753322891691e-01 7.6038050932616619e+00
1.9604956381471391e+14 6.7540788191049017e-01 8.2572965826469353e+00
1.9658521836065575e+14 6.7651018302880772e-01 8.9090224914669953e+00
1.9712380800000000e+14 6.7693854110756568e-01 9.5646400131710259e+00
1.9766535692307694e+14 6.7692323209716465e-01 1.0224214457674336e+01
1.9820988958677688e+14 6.7638599122333987e-01 1.0887677363340979e+01
1.9875743071823203e+14 6.7522478800768537e-01 1.1554648521774302e+01
1.9930800531855956e+14 6.7363636139702876e-01 1.2224537457792504e+01
1.9986163866666666e+14 6.7220890950033307e-01 1.2897194990473620e+01
("port 2","mode 1",1,"port 2",1,"transmission")
(25, 3)
1.8737028625000000e+14 7.0536362728776184e-02 2.9420777533813030e+00
1.8785950370757181e+14 7.3790110849768067e-02 3.2688793869315238e+00
1.8835128251308903e+14 1.6828500632924064e-02 3.7858245219866666e+00
1.8884564283464566e+14 5.5710678844527885e-02 4.5477717408164731e+00
1.8934260505263156e+14 9.9942443125173183e-02 5.4684881876413147e+00
1.8984218976253297e+14 2.1444850021526812e-01 5.5087343711826291e+00
1.9034441777777778e+14 4.7825260351945759e-02 5.5032502144275552e+00
1.9084931013262600e+14 1.0558021298311137e-02 6.9559783130688198e+00
1.9135688808510641e+14 3.7281514833530276e-03 7.5503120012395657e+00
1.9186717312000003e+14 6.2442352816111362e-03 7.9923981916557540e+00
1.9238018695187166e+14 8.0026222961106040e-03 8.5809206342910542e+00
1.9289595152815012e+14 9.4064868127536078e-03 9.3018559395023548e+00
1.9341448903225806e+14 8.6910629365563128e-03 9.7559934550240328e+00
1.9393582188679247e+14 7.6623905762363649e-03 1.0505435640306565e+01
1.9445997275675678e+14 6.3758467910602461e-03 1.1316139551012917e+01
1.9498696455284550e+14 5.4427616954975146e-03 1.2201679722537493e+01
1.9551682043478259e+14 5.2752882003067603e-03 1.3224022929909362e+01
1.9604956381471391e+14 8.2859588473519329e-03 1.4166230033480867e+01
1.9658521836065575e+14 8.1609577031064150e-03 1.5043336480927573e+01
1.9712380800000000e+14 8.7536895341957972e-03 1.5922927713951076e+01
1.9766535692307694e+14 9.5562933107589711e-03 1.6859029526532460e+01
1.9820988958677688e+14 1.0625611596837250e-02 1.7900465387557194e+01
1.9875743071823203e+14 1.0460540715066816e-02 1.9633003301952737e+01
1.9930800531855956e+14 1.1844643566671254e-02 2.0540898003024779e+01
1.9986163866666666e+14 1.0477904751052267e-02 2.1399174192842825e+01
("port 2","mode 1",1,"port 3",1,"transmission")
(25, 3)
1.8737028625000000e+14 7.7718614566898866e-02 -2.1906176155003060e-01
1.8785950370757181e+14 8.3049975936240222e-02 1.2409621497930218e-01
1.8835128251308903e+14 2.7508486968966912e-02 6.4287550017870143e-01
1.8884564283464566e+14 6.6902296953790893e-02 1.3646520134114912e+00
1.8934260505263156e+14 1.0993672019137452e-01 2.2571123795841617e+00
1.8984218976253297e+14 2.2655746663948706e-01 2.3563096566668085e+00
1.9034441777777778e+14 5.8755851726675912e-02 2.4182030848458314e+00
1.9084931013262600e+14 1.8905722344379709e-02 3.4720086547352049e+00
1.9135688808510641e+14 1.0460208133381608e-02 3.7119092556353754e+00
1.9186717312000003e+14 8.7372203247257276e-03 4.0304527806254695e+00
1.9238018695187166e+14 8.6583732851495017e-03 4.4146431564582596e+00
1.9289595152815012e+14 8.8904930172650290e-03 4.8695299089111401e+00
1.9341448903225806e+14 5.2219107530460749e-03 6.1921864044029649e+00
1.9393582188679247e+14 3.6864396605292746e-03 7.1130892305936824e+00
1.9445997275675678e+14 2.6502544970708267e-03 8.3819449379093047e+00
1.9498696455284550e+14 2.8091974489549837e-03 9.8507520970463727e+00
1.9551682043478259e+14 3.6235612878314045e-03 1.0921110113849549e+01
1.9604956381471391e+14 3.5833343025712524e-03 1.2228563719772959e+01
1.9658521836065575e+14 5.8840497357507595e-03 1.2621938955229508e+01
1.9712380800000000e+14 8.4700144954377270e-03 1.3244546284182242e+01
1.9766535692307694e+14 1.1428549656201298e-02 1.3964497204575601e+01
1.9820988958677688e+14 1.4619305202255160e-02 1.4760505941007622e+01
1.9875743071823203e+14 1.3040528529247197e-02 1.5988935678572856e+01
1.9930800531855956e+14 1.3277902022425823e-02 1.6676206711895691e+01
1.9986163866666666e+14 1.1394929969446002e-02 1.7231391957691606e+01
("port 3","mode 1",1,"port 1",1,"transmission")
(25, 3)
1.8737028625000000e+14 6.7610031361662581e-01 -2.5137364316495452e+00
1.8785950370757181e+14 6.7680512885919542e-01 -1.9061077948309835e+00
1.8835128251308903e+14 6.7752784447784586e-01 -1.2954074049913795e+00
1.8884564283464566e+14 6.7796309364225449e-01 -6.8202421578688766e-01
1.8934260505263156e+14 6.7752645219858387e-01 -6.5941388021652073e-02
1.8984218976253297e+14 6.7753430679175453e-01 5.5365532142249918e-01
1.9034441777777778e+14 6.7758496919456102e-01 1.1770265347411291e+00
1.9084931013262600e+14 6.7727436025479570e-01 1.8040628988220788e+00
1.9135688808510641e+14 6.7637359463843816e-01 2.4343281620096846e+00
1.9186717312000003e+14 6.7624485447479887e-01 3.0680127226929237e+00
1.9238018695187166e+14 6.7507950797407634e-01 3.7035253789765998e+00
1.9289595152815012e+14 6.7433891798380807e-01 4.3423765897961397e+00
1.9341448903225806e+14 6.8423033649858800e-01 4.9903657814184816e+00
1.9393582188679247e+14 6.8386840006131011e-01 5.6371629416288478e+00
1.9445997275675678e+14 6.8389720786583774e-01 6.2878109151912307e+00
1.9498696455284550e+14 6.8439920936317933e-01 6.9432336045519687e+00
1.9551682043478259e+14 6.8430753322600546e-01 7.6038050933093420e+00
1.9604956381471391e+14 6.7540788191165024e-01 8.2572965828537654e+00
1.9658521836065575e+14 6.7651018302621180e-01 8.9090224914580709e+00
1.9712380800000000e+14 6.7693854110731766e-01 9.5646400131602505e+00
1.9766535692307694e+14 6.7692323209390803e-01 1.0224214457727374e+01
1.9820988958677688e+14 6.7638599122717291e-01 1.0887677363384336e+01
1.9875743071823203e+14 6.7522478800682884e-01 1.1554648521819479e+01
1.9930800531855956e+14 6.7363636139877592e-01 1.2224537457873708e+01
1.9986163866666666e+14 6.7220890949916057e-01 1.2897194990455166e+01
("port 3","mode 1",1,"port 2",1,"transmission")
(25, 3)
1.8737028625000000e+14 7.7719728156390472e-02 -2.1920942367181490e-01
1.8785950370757181e+14 8.3054165081281481e-02 1.2395347853747447e-01
1.8835128251308903e+14 2.7508486967368292e-02 6.4287550006623495e-01
1.8884564283464566e+14 6.6873015599660648e-02 1.3646157247689537e+00
1.8934260505263156e+14 1.0993710663946532e-01 2.2570957605643502e+00
1.8984218976253297e+14 2.2655330775216051e-01 2.3562957371544613e+00
1.9034441777777778e+14 5.8740373254300732e-02 2.4180758120696253e+00
1.9084931013262600e+14 1.8906567208800556e-02 3.4718752535987840e+00
1.9135688808510641e+14 1.0460208133487747e-02 3.7119092556284752e+00
1.9186717312000003e+14 8.7372203249173955e-03 4.0304527806079724e+00
1.9238018695187166e+14 8.6583732852684534e-03 4.4146431564517199e+00
1.9289595152815012e+14 8.8904930174122394e-03 4.8695299089209696e+00
1.9341448903225806e+14 5.2219107532342048e-03 6.1921864043807835e+00
1.9393582188679247e+14 3.6864396604982357e-03 7.1130892305912354e+00
1.9445997275675678e+14 2.6502544972455320e-03 8.3819449379127917e+00
1.9498696455284550e+14 2.8091974491367454e-03 9.8507520970941158e+00
1.9551682043478259e+14 3.6235612879534948e-03 1.0921110113828654e+01
1.9604956381471391e+14 3.5833343028634896e-03 1.2228563719692524e+01
1.9658521836065575e+14 5.8840497365507758e-03 1.2621938955221532e+01
1.9712380800000000e+14 8.4700144953570988e-03 1.3244546284135332e+01
1.9766535692307694e+14 1.1428549656593753e-02 1.3964497204582790e+01
1.9820988958677688e+14 1.4619305202329066e-02 1.4760505941074371e+01
1.9875743071823203e+14 1.3040528529748579e-02 1.5988935678606680e+01
1.9930800531855956e+14 1.3277902023222606e-02 1.6676206711958191e+01
1.9986163866666666e+14 1.1394929969806645e-02 1.7231391957735521e+01
("port 3","mode 1",1,"port 3",1,"transmission")
(25, 3)
1.8737028625000000e+14 7.0537251885581409e-02 2.9419147784199233e+00
1.8785950370757181e+14 7.3794262257797491e-02 3.2687185593704684e+00
1.8835128251308903e+14 1.6828500631453032e-02 3.7858245219502491e+00
1.8884564283464566e+14 5.5681321957450278e-02 4.5477500278845495e+00
1.8934260505263156e+14 9.9942701241729465e-02 5.4684696817190073e+00
1.8984218976253297e+14 2.1444430742106352e-01 5.5087198767821866e+00
1.9034441777777778e+14 4.7810229382677982e-02 5.5030757977987186e+00
1.9084931013262600e+14 1.0557970546399982e-02 6.9557264317113008e+00
1.9135688808510641e+14 3.7281514839251429e-03 7.5503120014729665e+00
1.9186717312000003e+14 6.2442352817689561e-03 7.9923981917293769e+00
1.9238018695187166e+14 8.0026222961505442e-03 8.5809206343688551e+00
1.9289595152815012e+14 9.4064868126325189e-03 9.3018559398198377e+00
1.9341448903225806e+14 8.6910629363361382e-03 9.7559934551509411e+00
1.9393582188679247e+14 7.6623905756608183e-03 1.0505435640610713e+01
1.9445997275675678e+14 6.3758467908704240e-03 1.1316139551243793e+01
1.9498696455284550e+14 5.4427616953285629e-03 1.2201679722763059e+01
1.9551682043478259e+14 5.2752882001703997e-03 1.3224022930081176e+01
1.9604956381471391e+14 8.2859588480277222e-03 1.4166230033935939e+01
1.9658521836065575e+14 8.1609577033744368e-03 1.5043336480969590e+01
1.9712380800000000e+14 8.7536895343240297e-03 1.5922927713901265e+01
1.9766535692307694e+14 9.5562933106875005e-03 1.6859029526648886e+01
1.9820988958677688e+14 1.0625611597282297e-02 1.7900465387638938e+01
1.9875743071823203e+14 1.0460540715522073e-02 1.9633003302059940e+01
1.9930800531855956e+14 1.1844643567591370e-02 2.0540898003222718e+01
1.9986163866666666e+14 1.0477904751454841e-02 2.1399174192773376e+01
