

wavelength(nm), Y
1571.01, -4.23958
1571.01, -4.24725
1571.01, -4.25503
1571.01, -4.26292
1571.01, -4.27092
1571.01, -4.27903
1571.01, -4.28725
1571, -4.29559
1571, -4.30403
1571, -4.31259
1571, -4.32126
1571, -4.33004
1571, -4.33894
1571, -4.34795
1571, -4.35707
1570.99, -4.3663
1570.99, -4.37565
1570.99, -4.38512
1570.99, -4.39469
1570.99, -4.40438
1570.99, -4.41419
1570.99, -4.42411
1570.99, -4.43415
1570.98, -4.4443
1570.98, -4.45456
1570.98, -4.46495
1570.98, -4.47545
1570.98, -4.48606
1570.98, -4.49679
1570.98, -4.50764
1570.98, -4.51861
1570.97, -4.5297
1570.97, -4.5409
1570.97, -4.55222
1570.97, -4.56366
1570.97, -4.57522
1570.97, -4.5869
1570.97, -4.5987
1570.97, -4.61061
1570.97, -4.62265
1570.96, -4.63481
1570.96, -4.64709
1570.96, -4.65949
1570.96, -4.67201
1570.96, -4.68466
1570.96, -4.69742
1570.96, -4.71031
1570.96, -4.72332
1570.95, -4.73646
1570.95, -4.74972
1570.95, -4.7631
1570.95, -4.77661
1570.95, -4.79025
1570.95, -4.804
1570.95, -4.81789
1570.95, -4.8319
1570.94, -4.84604
1570.94, -4.8603
1570.94, -4.87469
1570.94, -4.88921
1570.94, -4.90386
1570.94, -4.91864
1570.94, -4.93354
1570.94, -4.94858
1570.93, -4.96374
1570.93, -4.97904
1570.93, -4.99447
1570.93, -5.01002
1570.93, -5.02571
1570.93, -5.04154
1570.93, -5.05749
1570.93, -5.07358
1570.93, -5.0898
1570.92, -5.10616
1570.92, -5.12265
1570.92, -5.13928
1570.92, -5.15604
1570.92, -5.17294
1570.92, -5.18998
1570.92, -5.20715
1570.92, -5.22446
1570.91, -5.24191
1570.91, -5.2595
1570.91, -5.27723
1570.91, -5.2951
1570.91, -5.31311
1570.91, -5.33127
1570.91, -5.34956
1570.91, -5.368
1570.9, -5.38658
1570.9, -5.4053
1570.9, -5.42417
1570.9, -5.44319
1570.9, -5.46235
1570.9, -5.48165
1570.9, -5.5011
1570.9, -5.52071
1570.89, -5.54046
1570.89, -5.56035
1570.89, -5.5804
1570.89, -5.6006
1570.89, -5.62095
1570.89, -5.64145
1570.89, -5.66211
1570.89, -5.68292
1570.89, -5.70388
1570.88, -5.72499
1570.88, -5.74627
1570.88, -5.7677
1570.88, -5.78928
1570.88, -5.81103
1570.88, -5.83293
1570.88, -5.85499
1570.88, -5.87721
1570.87, -5.8996
1570.87, -5.92214
1570.87, -5.94485
1570.87, -5.96772
1570.87, -5.99076
1570.87, -6.01396
1570.87, -6.03733
1570.87, -6.06087
1570.86, -6.08457
1570.86, -6.10844
1570.86, -6.13249
1570.86, -6.1567
1570.86, -6.18109
1570.86, -6.20565
1570.86, -6.23038
1570.86, -6.25529
1570.85, -6.28037
1570.85, -6.30563
1570.85, -6.33107
1570.85, -6.35668
1570.85, -6.38248
1570.85, -6.40846
1570.85, -6.43462
1570.85, -6.46096
1570.85, -6.48749
1570.84, -6.51421
1570.84, -6.54111
1570.84, -6.5682
1570.84, -6.59547
1570.84, -6.62294
1570.84, -6.6506
1570.84, -6.67845
1570.84, -6.7065
1570.83, -6.73474
1570.83, -6.76318
1570.83, -6.79181
1570.83, -6.82065
1570.83, -6.84968
1570.83, -6.87892
1570.83, -6.90836
1570.83, -6.938
1570.82, -6.96785
1570.82, -6.99791
1570.82, -7.02817
1570.82, -7.05865
1570.82, -7.08934
1570.82, -7.12024
1570.82, -7.15136
1570.82, -7.18269
1570.81, -7.21424
1570.81, -7.24601
1570.81, -7.278
1570.81, -7.31021
1570.81, -7.34265
1570.81, -7.37531
1570.81, -7.4082
1570.81, -7.44132
1570.81, -7.47468
1570.8, -7.50826
1570.8, -7.54208
1570.8, -7.57614
1570.8, -7.61043
1570.8, -7.64497
1570.8, -7.67975
1570.8, -7.71477
1570.8, -7.75004
1570.79, -7.78556
1570.79, -7.82132
1570.79, -7.85734
1570.79, -7.89362
1570.79, -7.93015
1570.79, -7.96694
1570.79, -8.00399
1570.79, -8.0413
1570.78, -8.07888
1570.78, -8.11673
1570.78, -8.15485
1570.78, -8.19324
1570.78, -8.23191
1570.78, -8.27085
1570.78, -8.31007
1570.78, -8.34958
1570.78, -8.38937
1570.77, -8.42945
1570.77, -8.46982
1570.77, -8.51048
1570.77, -8.55144
1570.77, -8.59269
1570.77, -8.63425
1570.77, -8.67612
1570.77, -8.71829
1570.76, -8.76077
1570.76, -8.80356
1570.76, -8.84667
1570.76, -8.8901
1570.76, -8.93386
1570.76, -8.97794
1570.76, -9.02235
1570.76, -9.06709
1570.75, -9.11217
1570.75, -9.15759
1570.75, -9.20335
1570.75, -9.24946
1570.75, -9.29593
1570.75, -9.34274
1570.75, -9.38992
1570.75, -9.43745
1570.74, -9.48536
1570.74, -9.53363
1570.74, -9.58228
1570.74, -9.63131
1570.74, -9.68072
1570.74, -9.73051
1570.74, -9.7807
1570.74, -9.83129
1570.74, -9.88228
1570.73, -9.93367
1570.73, -9.98548
1570.73, -10.0377
1570.73, -10.0903
1570.73, -10.1434
1570.73, -10.1969
1570.73, -10.2508
1570.73, -10.3052
1570.72, -10.36
1570.72, -10.4153
1570.72, -10.4711
1570.72, -10.5273
1570.72, -10.5839
1570.72, -10.6411
1570.72, -10.6987
1570.72, -10.7569
1570.71, -10.8155
1570.71, -10.8746
1570.71, -10.9342
1570.71, -10.9944
1570.71, -11.0551
1570.71, -11.1163
1570.71, -11.178
1570.71, -11.2403
1570.7, -11.3032
1570.7, -11.3666
1570.7, -11.4306
1570.7, -11.4952
1570.7, -11.5603
1570.7, -11.6261
1570.7, -11.6924
1570.7, -11.7594
1570.7, -11.827
1570.69, -11.8952
1570.69, -11.9641
1570.69, -12.0337
1570.69, -12.1039
1570.69, -12.1748
1570.69, -12.2463
1570.69, -12.3186
1570.69, -12.3916
1570.68, -12.4653
1570.68, -12.5398
1570.68, -12.615
1570.68, -12.6909
1570.68, -12.7677
1570.68, -12.8452
1570.68, -12.9235
1570.68, -13.0027
1570.67, -13.0826
1570.67, -13.1635
1570.67, -13.2452
1570.67, -13.3277
1570.67, -13.4112
1570.67, -13.4956
1570.67, -13.5809
1570.67, -13.6672
1570.66, -13.7545
1570.66, -13.8427
1570.66, -13.932
1570.66, -14.0222
1570.66, -14.1136
1570.66, -14.206
1570.66, -14.2995
1570.66, -14.3941
1570.66, -14.4899
1570.65, -14.5869
1570.65, -14.6851
1570.65, -14.7845
1570.65, -14.8851
1570.65, -14.987
1570.65, -15.0903
1570.65, -15.1949
1570.65, -15.3009
1570.64, -15.4083
1570.64, -15.5171
1570.64, -15.6275
1570.64, -15.7393
1570.64, -15.8527
1570.64, -15.9678
1570.64, -16.0845
1570.64, -16.2029
1570.63, -16.323
1570.63, -16.4449
1570.63, -16.5687
1570.63, -16.6943
1570.63, -16.8219
1570.63, -16.9515
1570.63, -17.0832
1570.63, -17.2171
1570.62, -17.3531
1570.62, -17.4914
1570.62, -17.632
1570.62, -17.7751
1570.62, -17.9206
1570.62, -18.0688
1570.62, -18.2196
1570.62, -18.3732
1570.62, -18.5297
1570.61, -18.6892
1570.61, -18.8517
1570.61, -19.0175
1570.61, -19.1866
1570.61, -19.3591
1570.61, -19.5353
1570.61, -19.7152
1570.61, -19.899
1570.6, -20.087
1570.6, -20.2791
1570.6, -20.4758
1570.6, -20.6771
1570.6, -20.8833
1570.6, -21.0946
1570.6, -21.3113
1570.6, -21.5336
1570.59, -21.7619
1570.59, -21.9965
1570.59, -22.2377
1570.59, -22.4858
1570.59, -22.7414
1570.59, -23.0049
1570.59, -23.2767
1570.59, -23.5574
1570.58, -23.8476
1570.58, -24.1479
1570.58, -24.4591
1570.58, -24.782
1570.58, -25.1175
1570.58, -25.4665
1570.58, -25.8303
1570.58, -26.2101
1570.58, -26.6074
1570.57, -27.0238
1570.57, -27.4614
1570.57, -27.9222
1570.57, -28.409
1570.57, -28.9249
1570.57, -29.4734
1570.57, -30.059
