.HEADER
..NAMES
wavelength,transmission,transmission,angle,group delay,group velocity,dispersion,loss,gain
..UNITS
m,TE transmission,TE transmission,TE angle (rad),TE group delay (s),TE group velocity (m/s),TE dispersion (s/m),TE loss (dB),TE gain (dB)
..DATATYPES
double,complex,complex,double,double,double,double,double,double
..WAVEFORM_TYPES
,analog,analog,analog,analog,analog,analog,analog,analog
..AXIS_SPACING
linear
..FOLDER_NAME
input_1_mode_1
.DATA
1.500046876462389e-06,0.02717881625917321,0.004198684867238645,458.8257995256247,5.772032803562403e-12,173249188636.4223,4.92216079880001e-05,31.21296133190363,-31.21296133190363
1.500093755857242e-06,0.02756970513842495,-0.002021520886890927,458.5993344146673,5.772032803562403e-12,173249188636.4223,4.92216079880001e-05,31.16807067458019,-31.16807067458019
1.500140638182331e-06,0.02654758183806222,-0.008204819457011361,458.3727787490715,5.774216544206895e-12,173183667835.1232,4.39369335632957e-05,31.12330292837326,-31.12330292837326
1.500187523437933e-06,0.02414804674634163,-0.01403174098038983,458.146142246177,5.775996180871023e-12,173130308380.7094,3.1977995439305e-05,31.07895421677473,-31.07895421677473
1.500234411624321e-06,0.02047921395312974,-0.01919654045241159,457.9194469049399,5.777109157501279e-12,173096954330.7921,1.549616776480127e-05,31.03525939846634,-31.03525939846634
1.500281302741769e-06,0.01571743269192485,-0.02342412936331794,457.6927230495382,5.777409726735031e-12,173087948976.9417,-2.675720468528391e-06,30.99235617992338,-30.99235617992338
1.500328196790554e-06,0.01009871403359035,-0.02648570986070384,457.4660041179799,5.776889358331931e-12,173103540326.1988,-1.951711951012807e-05,30.95026630676474,-30.95026630676474
1.50037509377095e-06,0.003906347955356563,-0.02821183393489898,457.2393211039431,5.775673466410174e-12,173139981997.899,-3.233622009946254e-05,30.90889656974106,-30.90889656974106
1.500421993683232e-06,-0.002544348248437502,-0.02850187680470131,457.0126976022483,5.773995567536814e-12,173190295749.8459,-3.921588940637523e-05,30.86805888545963,-30.86805888545963
1.500468896527675e-06,-0.008922938703900063,-0.02732935649039263,456.7861462789133,5.772154014690912e-12,173245550526.695,-3.931038325846548e-05,30.82750541658687,-30.82750541658687
1.500515802304553e-06,-0.01490119659864637,-0.0247430181633807,456.5596673123812,5.770459419861099e-12,173296427067.5126,-3.294508753567798e-05,30.78697221290311,-30.78697221290311
1.500562711014143e-06,-0.02016979900508943,-0.0208639951913596,456.3332489901381,5.769182199953157e-12,173334792582.5812,-2.151082490534703e-05,30.7462236321905,-30.7462236321905
1.500609622656718e-06,-0.02445363541810884,-0.01587957145184938,456.1068702668261,5.768509197670341e-12,173355015261.8043,-7.181958063954211e-06,30.70509000331648,-30.70509000331648
1.500656537232554e-06,-0.02752526057374681,-0.0100340934434394,455.8805047654916,5.768516295468952e-12,173354801959.2974,7.484083497100815e-06,30.66349249326057,-30.66349249326057
1.500703454741926e-06,-0.02921619374019083,-0.003617481902784724,455.6541254851054,5.76916087868658e-12,173335433181.3438,1.999282445459446e-05,30.62145158016896,-30.62145158016896
1.500750375185109e-06,-0.02942579122625254,0.003048323211117367,455.4277093933464,5.770293939829294e-12,173301396848.6991,2.830403589527395e-05,30.57907844098055,-30.57907844098055
1.50079729856238e-06,-0.02812733650208858,0.009624683459215459,455.2012411841103,5.771691807817702e-12,173259424324.3393,3.127674828548899e-05,30.53655049248627,-30.53655049248627
